Time(UTC) Height(m) Hi/Lo Slack(UTC)
"2022-08-18 03:41:00" 1.40 Low "2022-08-18 06:21:46"
"2022-08-18 09:49:00" 4.91 High "2022-08-18 12:09:46"
"2022-08-18 15:56:00" 1.64 Low "2022-08-18 18:35:20"
"2022-08-18 22:02:00" 4.94 High "2022-08-19 00:23:08"
"2022-08-19 04:18:00" 1.73 Low "2022-08-19 06:57:36"
"2022-08-19 10:28:00" 4.73 High "2022-08-19 12:47:02"
"2022-08-19 16:37:00" 1.97 Low "2022-08-19 19:16:10"
"2022-08-19 22:47:00" 4.71 High "2022-08-20 01:05:50"
"2022-08-20 05:03:00" 2.06 Low "2022-08-20 07:45:25"
"2022-08-20 11:19:00" 4.57 High "2022-08-20 13:36:44"
"2022-08-20 17:31:00" 2.28 Low "2022-08-20 20:09:56"
"2022-08-20 23:45:00" 4.50 High "2022-08-21 02:02:14"
"2022-08-21 06:05:00" 2.33 Low "2022-08-21 08:47:13"
"2022-08-21 12:23:00" 4.47 High "2022-08-21 14:40:01"
"2022-08-21 18:53:00" 2.46 Low "2022-08-21 21:20:18"
"2022-08-22 00:58:00" 4.38 High "2022-08-22 03:14:31"
"2022-08-22 07:37:00" 2.44 Low "2022-08-22 10:01:37"
"2022-08-22 13:37:00" 4.49 High "2022-08-22 15:54:08"
"2022-08-22 20:27:00" 2.40 Low "2022-08-22 22:41:12"
"2022-08-23 02:18:00" 4.42 High "2022-08-23 04:34:44"
"2022-08-23 08:58:00" 2.31 Low "2022-08-23 11:20:06"
"2022-08-23 14:52:00" 4.66 High "2022-08-23 17:10:22"
"2022-08-23 21:34:00" 2.16 Low "2022-08-23 23:58:11"
"2022-08-24 03:31:00" 4.61 High "2022-08-24 05:49:00"
"2022-08-24 09:56:00" 2.06 Low "2022-08-24 12:25:53"
"2022-08-24 15:53:00" 4.92 High "2022-08-24 18:13:51"
"2022-08-24 22:25:00" 1.87 Low "2022-08-25 00:56:49"
"2022-08-25 04:25:00" 4.85 High "2022-08-25 06:45:12"
"2022-08-25 10:42:00" 1.77 Low "2022-08-25 13:17:03"
"2022-08-25 16:40:00" 5.18 High "2022-08-25 19:04:03"
"2022-08-25 23:07:00" 1.59 Low 
